"Site ID","Site Name",Province,Munciple,Locality,"Latitude ","Longitude ","Site Code",Vendor,"Responsible Area",Priority,"Priority Comment","Element Type",Model,MSC,MGW,BSC,RNC,Phase,"Service Date",Stage,"Sub Stage","Start Date",End_Date,"Created Date"
562,"Kilamba Q19",Luanda,Belas,"Kilamba Kiaxi",-8.99685,13.26836,BL143,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:47"
563,"Kilamba S21",Luanda,Belas,"Kilamba Kiaxi",-8.99701,13.27497,BL144,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:47"
564,"Kilamba Via Kero",Luanda,Belas,,-9.006056,13.288194,LD146,,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:48"
565,"Kilamba W23",Luanda,Belas,"Kilamba Kiaxi",-9.0005,13.2788,BL147,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:48"
566,"Kilamba X32",Luanda,Belas,"Kilamba Kiaxi",-9.005111,13.26822,BL148,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:48"
567,Kilamba_U_1,Luanda,Belas,"Vila Estoril",-8.911625,13.25194,BL149,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:48"
568,Kilamba_U_2,Luanda,Belas,"Vila Estoril",-8.881944,13.23027,BL150,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:48"
573,KKE6A,Luanda,Belas,"Kilamba KK500",-9.014725,13.283744,BL481,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:49"
574,KKJ18,Luanda,Belas,"Kilamba KK500",-9.020256,13.285422,BL482,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:49"
575,"Km 44",Luanda,"Icolo e Bengo","Bom Jesus",-9.033611,13.571667,VA153,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:49"
576,"KM 7",Luanda,Luanda,Cuca,-8.81706,13.2672,LD154,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:49"
577,"KM44 Bom Jesus",Luanda,"Icolo e Bengo","Bom Jesus",-9.04315,13.57481,CB381,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:49"
584,"Kwanza Curral",Luanda,Belas,Ramiros,-9.17989,13.1134,BL156,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:50"
585,"Kwanza Curral 2",Luanda,Belas,Ramiros,-9.203792,13.118353,BL157,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:50"
598,"Luanda Sul",Luanda,Belas,"Futungo de Belas",-8.91804,13.18335,BL160,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:52"
608,"Mabor 1",Luanda,Cazenga,Cazenga,-8.809835,13.314821,CZ162,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:53"
610,Macom,Luanda,Belas,"Kilamba Kiaxi",-8.878378,13.266744,BL164,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:53"
612,Maculusso,Luanda,Luanda,Maculusso,-8.821722,13.240388,LD165,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:54"
613,"Mae Preta",Luanda,Cazenga,Cazenga,-8.80817,13.293343,CZ166,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:54"
615,Maianga_DU_1,Luanda,Luanda,Maianga,-8.8295,13.230207,LD167,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:54"
616,Makarenco,Luanda,Luanda,,-8.823111,13.246472,LD168,,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:54"
624,Mandume,Luanda,Viana,Viana,-8.95671,13.2958,VA169,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:55"
627,Marçal,Luanda,Luanda,Rangel,-8.82327,13.2533,LD170,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:57"
628,"Marco Historico",Luanda,Cacuaco,Cacuaco,-8.8297,13.407028,CA171,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:57"
629,"Maria do Ceu",Luanda,Cacuaco,Cacuaco,-8.81528,13.3511,CA172,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:57"
630,"Maria do Ceu 1",Luanda,Cacuaco,Cacuaco,-8.80495,13.340507,CA173,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:57"
631,"Maria Teresa",Luanda,"Icolo e Bengo",Calumbo,-9.251944,14.105278,CB174,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:58"
632,Martal,Luanda,Luanda,Maianga,-8.833472,13.230917,LD175,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:58"
638,"Mbonde chapeu 2",Luanda,Belas,Camama,-8.936467,13.214931,BL295,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:58"
639,"Mbonde Chapeu 3",Luanda,Belas,Camama,-8.93307,13.22601,BL292,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:59"
640,"Mbonde Sul",Luanda,Belas,"Futungo de Belas",-8.934167,13.205277,BL177,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:59"
